Type,Country,Class,Role,Date,Status,No.,Notes
Airbus Wingman,European Union,UCAV,Fighter,2024,Project,0,"Germany, Spain[63]"
Airbus LOUT,Germany,UAV,Experimental,2019,Project,0,Low Observable UAV Testbed[64]
Airbus Sagitta,Germany,UAV,Experimental,2017,Prototype,1,
BAE Systems Corax,United Kingdom,UAV,Experimental,2004,Prototype,,
BAE Systems Replica,United Kingdom,,,1999,Project,,
BAE Systems Taranis,United Kingdom,UCAV,Attack,2013,Prototype,,
BAE Systems Tempest,United Kingdom,Supersonic,Fighter,,Project,,UK contribution to the Global Combat Air Programme (qv).
Baykar Bayraktar Kızılelma,Turkey,UCAV,,2022,Prototype,3,
Bell 360 Invictus,United States,Rotorcraft,Experimental,2019,Prototype,,
Boeing Bird of Prey,United States,Subsonic,Experimental,1996,Prototype,,
Boeing Model 853-21 Quiet Bird,United States,Subsonic,Reconnaissance,,Project,,Developed from Model 853.
Boeing MQ-25 Stingray,United States,UAV,Experimental,2019,Prototype,,
Boeing MQ-28 Ghost Bat,Australia,UCAV,Autonomous fighter AI & loyal wingman[65],2019,Production,8[62],
Boeing X-32,United States,Supersonic jet,Fighter,2000,Prototype,2,
Boeing X-45,United States,UCAV,Experimental,2002,Prototype,,
Boeing–Sikorsky RAH-66 Comanche,United States,Rotorcraft,Attack,1996,Prototype,2,
Chengdu J-20,China,Supersonic jet,Fighter,2011,Production,210+,
Chengdu J-36,China,Supersonic jet,Fighter,2024,Prototype,1,
Chengdu WZ-10,China,UAV,,2014,Production,,
Dassault nEUROn,European Union,UCAV,Attack,2012,Prototype,,"France, Greece, Italy, Spain, Sweden, Switzerland"
DRDO Ghatak,India,UCAV,,,Project,,
DRDO SWiFT,India,UCAV,Experimental,2022,Prototype,,
EADS Mako/HEAT,International,Supersonic,Attack,,Project,,
Eurocopter EC-665 Tiger,European Union,Rotorcraft,Attack,2003,Production,180,"France, Germany, Spain"
FCAS (New Generation Fighter),European Union,Supersonic jet,Fighter,,Project,,"France, Germany & Spain (within FCAS)"
Flygsystem 2020,Sweden,Supersonic,Fighter,,Project,,
Global Combat Air Programme,International,Supersonic,Fighter,,Project,,"Merger of UK (BAE Systems Tempest), Japan (Mitsubishi F-X) & Italy"
HAL AMCA,India,Supersonic,Fighter,,Project,,
HAL Prachand,India,Rotorcraft,Attack,2022,Production,171,
Hongdu GJ-11,China,UCAV,,,,,
KAI KF-21 Boramae,International,Supersonic,Fighter,2022,Prototype,6,South Korea and Indonesia
Kratos XQ-58 Valkyrie,United States,UCAV,Experimental,,,,
Lockheed F-117 Nighthawk,United States,Subsonic,Attack,1981,Production,64,
Lockheed Have Blue,United States,Subsonic,Experimental,1977,Prototype,2,Developed into F-117
Lockheed SR-71,United States,Supersonic,Reconnaissance,1964,Production,32,
Lockheed Martin F-22 Raptor,United States,Supersonic,Fighter,1996,Production,195,
Lockheed Martin F-35 Lightning II,United States,Supersonic,Fighter,2006,Production,1000+,"A-variant CTOL, B-variant V/STOL, C-variant CATOBAR"
Lockheed Martin RQ-170 Sentinel,United States,UAV,,,Production,20-30,
Lockheed Martin X-35,United States,Supersonic,Fighter,2000,Prototype,2,
Lockheed Martin X-44 MANTA,United States,Jet,Fighter,2000,Project,,
MBB Lampyridae MRMF,Germany,Jet,Fighter,1987,Project,,
McDonnell Douglas X-36,United States,Subsonic,Experimental,1997,Prototype,1,No vertical tail.
McDonnell Douglas A-12 Avenger II,United States,Subsonic,Bomber,,Project,,
MH-X Stealthhawk,United States,Rotorcraft,Utility,,Top-secret,,[66]
Mikoyan Skat,Russia,UCAV,Attack,,Project,,
Mikoyan Project 1.44,Russia,Supersonic,Fighter,2000,Prototype,1,Initially developt for the MFI project.
Mikoyan LMFS,Russia,Supersonic,Fighter,,Cancelled,,
Mikoyan PAK DP,Russia,Supersonic,Fighter,,Project,,
Mitsubishi X-2 Shinshin,Japan,Supersonic,Experimental,2016,Prototype,1,
NGAD (F/A-XX),United States,Supersonic,Fighter,,Project,,Navy´s NGAD programme. To replace Navy´s F/A-18E/F Super Hornets.
NGAD (Penetrating Counter-Air (PCA)),United States,Supersonic,Fighter,,Project,,To replace USAF´s F-22 Raptors.
Northrop Tacit Blue,United States,Subsonic,Experimental,1982,Prototype,1,
Northrop YF-23,United States,Supersonic,Fighter,1990,Prototype,2,
Northrop Grumman B-2 Spirit,United States,Subsonic,Bomber,1989,Production,21,
Northrop Grumman B-21 Raider,United States,Subsonic,Bomber,2023,Production,3+,
Northrop Grumman RQ-180,United States,UAV,,,Production,,
Northrop Grumman X-47A Pegasus,United States,UCAV,Experimental,2003,Prototype,,
Northrop Grumman X-47B,United States,UCAV,Experimental,2003,Prototype,2,
Ryan AQM-91 Firefly,United States,UAV,Experimental,,,,
Saab KFS,Sweden,Supersonic,Fighter,2023,Prototype,,Konceptet Framtidens Stridsflyg[67]
Shenyang J-35,China,Supersonic,Fighter,2012,,,
Shenyang J-50,China,Supersonic,Fighter,2024,,,
Sukhoi Okhotnik,Russia,UCAV,Experimental,,Prototype,2[68],Non-stealthy circular exhaust[68]
Sukhoi Su-57,Russia,Supersonic,Fighter,2010,Production,21+,
Sukhoi Su-75 Checkmate,Russia,Supersonic,Stealth Multirole Fighter,2024,Project,,
TAI Anka-3,Turkey,UCAV,,2023,Prototype,2,
TAI Kaan,Turkey,Supersonic,Fighter,2024,Prototype,1,
Tupolev PAK DA,Russia,Subsonic,Bomber,,Project,,
Windecker YE-5,United States,Tractor,Experimental,1973,Prototype,1,"Stealth research, not fully stealthy."
Xian H-20,China,Subsonic,Bomber,,Project,,
Yakovlev Yak-201,Russia,Supersonic,Fighter,,Project,,VTOL
